GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
262,167,huffpost.com,com,41402,92141,huffpost.com,com,261,166,41413,92596
263,168,mckinsey.com,com,41103,79526,mckinsey.com,com,262,167,41402,80217
264,169,stripe.com,com,41045,90634,stripe.com,com,268,171,41111,91080
265,170,economist.com,com,41008,81207,economist.com,com,264,169,41252,81921
266,32,change.org,org,40993,88168,change.org,org,265,32,41188,88905
267,171,businesswire.com,com,40980,82467,businesswire.com,com,266,170,41177,83373
268,172,discord.com,com,40863,89575,discord.com,com,269,172,40968,89914
269,33,weforum.org,org,40856,79711,weforum.org,org,267,33,41124,80566
270,173,statcounter.com,com,40821,99005,statcounter.com,com,270,173,40914,99317
271,8,columbia.edu,edu,40698,79685,columbia.edu,edu,271,8,40818,80070
272,174,youronlinechoices.com,com,40624,112241,youronlinechoices.com,com,272,174,40761,112951
273,34,pbs.org,org,40434,89338,pbs.org,org,274,34,40557,89919
274,175,eepurl.com,com,40398,88708,eepurl.com,com,273,175,40637,89489
275,176,usnews.com,com,40288,89485,usnews.com,com,275,176,40408,90115
276,177,plesk.com,com,40238,100647,plesk.com,com,281,179,40121,100418
277,178,web.whatsapp.com,com,40206,104022,web.whatsapp.com,com,279,178,40149,104052
278,35,arxiv.org,org,40165,74580,arxiv.org,org,276,35,40350,75180
279,9,academia.edu,edu,40069,79928,academia.edu,edu,277,9,40221,80369
280,179,translate.google.com,com,39965,78198,translate.google.com,com,278,177,40206,78697
281,10,umich.edu,edu,39956,79262,umich.edu,edu,285,10,40050,79589
282,36,ieee.org,org,39955,71622,ieee.org,org,280,36,40145,72107
283,180,mdpi.com,com,39937,79802,mdpi.com,com,282,180,40068,80526
284,181,outlook.office.com,com,39878,89189,outlook.office.com,com,286,183,39996,89348
285,182,indiatimes.com,com,39872,88621,indiatimes.com,com,283,181,40067,89307
286,11,noaa.gov,gov,39850,79939,noaa.gov,gov,287,11,39975,80452
287,37,plos.org,org,39788,77971,plos.org,org,288,37,39957,78515
288,183,deloitte.com,com,39744,74102,deloitte.com,com,284,182,40065,75057
289,184,akismet.com,com,39675,104900,akismet.com,com,292,186,39723,105120
290,185,indeed.com,com,39669,85207,indeed.com,com,289,184,39923,85953
291,12,state.gov,gov,39639,81314,state.gov,gov,291,12,39735,81801
292,186,theconversation.com,com,39587,83452,theconversation.com,com,290,185,39792,84123
293,187,foxnews.com,com,39341,86932,foxnews.com,com,293,187,39435,87504
294,11,yale.edu,edu,39291,77403,yale.edu,edu,296,11,39338,77878
295,188,wikihow.com,com,39256,86663,wikihow.com,com,294,188,39415,87134
296,189,fandom.com,com,39152,87322,fandom.com,com,295,189,39383,87995
297,190,cisco.com,com,39071,67737,cisco.com,com,298,191,39238,68252
298,191,biomedcentral.com,com,39062,77597,biomedcentral.com,com,297,190,39292,78263
299,192,psychologytoday.com,com,39055,86319,psychologytoday.com,com,300,193,39184,87015
